date,totalCount
0,700731
1,707150
2,711542
3,714884
4,718371
5,721671
6,731967
7,744766
8,749970
9,754292
10,759146
11,762754
12,766063
13,775775
14,787605
15,793174
16,796731
17,799726
18,802626
19,805498
20,812989
21,824665
22,829457
23,833099
24,836280
25,839246
26,841887
27,851451
28,869334
29,878054
30,883882
31,889234
32,894258
33,898217
34,908502
35,921385
36,927064
37,931058
38,935287
39,938918
40,942367
41,950733
42,963177
43,969171
44,974638
45,979065
46,982616
47,986488
48,996610
49,1009733
50,1015859
